x-coordinates,y-coordinates
1,0.00126
0.998825,0.001503
0.996688,0.001944
0.993938,0.00251
0.990701,0.003172
0.987052,0.003916
0.983043,0.004729
0.978711,0.005602
0.974086,0.006529
0.969195,0.007503
0.964056,0.008518
0.958688,0.009572
0.953107,0.010659
0.947326,0.011776
0.941357,0.012919
0.935212,0.014087
0.928901,0.015276
0.922433,0.016484
0.915817,0.017708
0.909061,0.018946
0.902171,0.020197
0.895156,0.021458
0.888021,0.022727
0.880773,0.024003
0.873418,0.025285
0.865961,0.026571
0.858407,0.027859
0.850762,0.029148
0.84303,0.030437
0.835217,0.031725
0.827325,0.03301
0.81936,0.034292
0.811326,0.035569
0.803226,0.03684
0.795065,0.038105
0.786845,0.039363
0.778572,0.040612
0.770247,0.041852
0.761875,0.043082
0.753458,0.044302
0.745001,0.045509
0.736505,0.046705
0.727973,0.047888
0.71941,0.049057
0.710817,0.050211
0.702198,0.051351
0.693554,0.052476
0.684889,0.053584
0.676206,0.054676
0.667506,0.05575
0.658792,0.056807
0.650067,0.057845
0.641333,0.058864
0.632592,0.059864
0.623847,0.060844
0.6151,0.061804
0.606352,0.062743
0.597607,0.06366
0.588866,0.064556
0.580132,0.06543
0.571405,0.066281
0.562689,0.067109
0.553986,0.067913
0.545297,0.068694
0.536624,0.06945
0.527969,0.070182
0.519334,0.070889
0.510721,0.07157
0.502131,0.072226
0.493567,0.072855
0.48503,0.073458
0.476521,0.074035
0.468043,0.074584
0.459598,0.075106
0.451186,0.075601
0.44281,0.076067
0.434471,0.076506
0.426171,0.076916
0.417911,0.077297
0.409693,0.07765
0.401518,0.077973
0.393388,0.078264
0.385305,0.078517
0.37727,0.078731
0.369284,0.078907
0.361349,0.079044
0.353467,0.079142
0.345638,0.079203
0.337864,0.079224
0.330147,0.079208
0.322488,0.079154
0.314888,0.079062
0.307349,0.078932
0.299872,0.078764
0.292459,0.078559
0.28511,0.078317
0.277827,0.078039
0.270611,0.077723
0.263464,0.077372
0.256387,0.076984
0.249381,0.076561
0.242448,0.076103
0.235588,0.075609
0.228802,0.075082
0.222093,0.07452
0.215461,0.073924
0.208908,0.073296
0.202435,0.072635
0.196042,0.071941
0.189731,0.071216
0.183503,0.07046
0.17736,0.069673
0.171302,0.068856
0.165331,0.06801
0.159448,0.067134
0.153654,0.066231
0.147949,0.065299
0.142336,0.064341
0.136815,0.063356
0.131387,0.062346
0.126053,0.061311
0.120815,0.060251
0.115674,0.059167
0.11063,0.058061
0.105684,0.056932
0.100839,0.055781
0.096094,0.05461
0.09145,0.053419
0.08691,0.052208
0.082473,0.050979
0.078141,0.049731
0.073915,0.048467
0.069796,0.047186
0.065784,0.045889
0.061881,0.044577
0.058089,0.043251
0.054406,0.041911
0.050836,0.040559
0.047378,0.039195
0.044034,0.037819
0.040804,0.036432
0.03769,0.035035
0.034693,0.03363
0.031813,0.032215
0.029051,0.030792
0.026409,0.029362
0.023886,0.027925
0.021485,0.026482
0.019206,0.025034
0.01705,0.02358
0.015018,0.022122
0.013111,0.02066
0.011329,0.019194
0.009674,0.017726
0.008146,0.016254
0.006746,0.014781
0.005476,0.013306
0.004336,0.01183
0.003327,0.010352
0.002449,0.008874
0.001704,0.007395
0.001093,0.005916
0.000616,0.004436
0.000274,0.002957
0.000069,0.001479
0,0
0.000069,-0.001465
0.000274,-0.002903
0.000616,-0.004313
0.001093,-0.005697
0.001704,-0.007054
0.002449,-0.008385
0.003327,-0.009689
0.004336,-0.010967
0.005476,-0.012218
0.006746,-0.013443
0.008146,-0.014642
0.009674,-0.015814
0.011329,-0.016961
0.013111,-0.018081
0.015018,-0.019175
0.01705,-0.020243
0.019206,-0.021285
0.021485,-0.022301
0.023886,-0.023291
0.026409,-0.024255
0.029051,-0.025193
0.031813,-0.026105
0.034693,-0.026992
0.03769,-0.027853
0.040804,-0.028687
0.044034,-0.029497
0.047378,-0.03028
0.050836,-0.031038
0.054406,-0.03177
0.058089,-0.032477
0.061881,-0.033158
0.065784,-0.033814
0.069796,-0.034444
0.073915,-0.035049
0.078141,-0.035629
0.082473,-0.036184
0.08691,-0.036714
0.09145,-0.03722
0.096094,-0.0377
0.100839,-0.038156
0.105684,-0.038587
0.11063,-0.038994
0.115674,-0.039378
0.120815,-0.039737
0.126053,-0.040072
0.131387,-0.040384
0.136815,-0.040673
0.142336,-0.040939
0.147949,-0.041182
0.153654,-0.041402
0.159448,-0.041601
0.165331,-0.041777
0.171302,-0.041932
0.17736,-0.042065
0.183503,-0.042178
0.189731,-0.042269
0.196042,-0.042341
0.202435,-0.042393
0.208908,-0.042425
0.215461,-0.042438
0.222093,-0.042433
0.228802,-0.042409
0.235588,-0.042367
0.242448,-0.042308
0.249381,-0.042232
0.256387,-0.04214
0.263464,-0.042032
0.270611,-0.041909
0.277827,-0.04177
0.28511,-0.041617
0.292459,-0.041451
0.299872,-0.04127
0.307349,-0.041078
0.314888,-0.040873
0.322488,-0.040656
0.330147,-0.040428
0.337864,-0.04019
0.345638,-0.039941
0.353467,-0.039684
0.361349,-0.039417
0.369284,-0.039143
0.37727,-0.03886
0.385305,-0.038571
0.393388,-0.038275
0.401518,-0.037973
0.409693,-0.03766
0.417911,-0.037333
0.426171,-0.036992
0.434471,-0.036638
0.44281,-0.036271
0.451186,-0.035892
0.459598,-0.035501
0.468043,-0.035099
0.476521,-0.034686
0.48503,-0.034262
0.493567,-0.033828
0.502131,-0.033385
0.510721,-0.032932
0.519334,-0.032471
0.527969,-0.032002
0.536624,-0.031524
0.545297,-0.03104
0.553986,-0.030548
0.562689,-0.03005
0.571405,-0.029545
0.580132,-0.029035
0.588866,-0.02852
0.597607,-0.027999
0.606352,-0.027474
0.6151,-0.026945
0.623847,-0.026412
0.632592,-0.025875
0.641333,-0.025335
0.650067,-0.024793
0.658792,-0.024248
0.667506,-0.023701
0.676206,-0.023152
0.684889,-0.022602
0.693554,-0.022051
0.702198,-0.021498
0.710817,-0.020946
0.71941,-0.020393
0.727973,-0.019839
0.736505,-0.019287
0.745001,-0.018734
0.753458,-0.018183
0.761875,-0.017633
0.770247,-0.017084
0.778572,-0.016536
0.786845,-0.015991
0.795065,-0.015447
0.803226,-0.014906
0.811326,-0.014368
0.81936,-0.013832
0.827325,-0.0133
0.835217,-0.012771
0.84303,-0.012245
0.850762,-0.011724
0.858407,-0.011207
0.865961,-0.010695
0.873418,-0.010188
0.880773,-0.009686
0.888021,-0.00919
0.895156,-0.0087
0.902171,-0.008216
0.909061,-0.00774
0.915817,-0.007271
0.922433,-0.00681
0.928901,-0.006358
0.935212,-0.005915
0.941357,-0.005483
0.947326,-0.005061
0.953107,-0.004651
0.958688,-0.004253
0.964056,-0.003869
0.969195,-0.003501
0.974086,-0.003148
0.978711,-0.002814
0.983043,-0.0025
0.987052,-0.002208
0.990701,-0.001942
0.993938,-0.001705
0.996688,-0.001504
0.998825,-0.001347
1,-0.00126